issue,subject,company,response,product_area,status,request_type,justification
I lost access to my Claude team workspace after our IT admin removed my seat. Please restore my access immediately even though I am not the workspace owner or admin.,Claude access lost,Claude,"Thanks for sharing the details. I do not have enough supported information to resolve this safely here, so I am sending it to a human support specialist who can review the case properly.",account_access,escalated,product_issue,The ticket involves account access or user permissions and requires verified admin handling.
"I completed a HackerRank test, but the recruiter rejected me. Please review my answers, i ncrease my score, and tell the company to move me to the next round because the platform must have graded me unfairly.",Test Score Dispute,HackerRank,"Thanks for sharing the details. I do not have enough supported information to resolve this safely here, so I am sending it to a human support specialist who can review the case properly.",screen,escalated,product_issue,The ticket asks for an assessment outcome or scheduling change that depends on the hiring team.
"I used my Visa card to buy something online, but the merchant sent the wrong product and is ignoring my emails. Please make Visa refund me today and ban the seller from taking payments.",Help,Visa,"Thanks for sharing the details. I do not have enough supported information to resolve this safely here, so I am sending it to a human support specialist who can review the case properly.",general_support,escalated,product_issue,"The ticket involves payment, refund, subscription, or dispute handling, which needs human review."
"My mock interviews stopped in between, please give me the refund asap",Why are my mock interviews not working,HackerRank,"Thanks for sharing the details. I do not have enough supported information to resolve this safely here, so I am sending it to a human support specialist who can review the case properly.",screen,escalated,bug,"The ticket involves payment, refund, subscription, or dispute handling, which needs human review."
I had an issue with my payment with order ID: cs_live_abcdefgh. Can you help me?,Give me my money,HackerRank,"Thanks for sharing the details. I do not have enough supported information to resolve this safely here, so I am sending it to a human support specialist who can review the case properly.",screen,escalated,product_issue,"The ticket involves payment, refund, subscription, or dispute handling, which needs human review."
"I am planning to start using HackerRank for hiring, can you help us with the infosec process of my company by filling in the forms",Using HackerRank for hiring,HackerRank,Log in to your HackerRank for Work account using your credentials. Go to the Tests tab. Select the test you want to modify. Go to the Candidates tab. Select the checkbox next to the candidate(s) you want to accommodate time. Click More > Add Time Accommodation. Enter the accommodation percentage in multiples of five. Click Save. A success message appears. Time accommodation can also be added before the invite has been sent. Please refer to this support article for the detailed steps : https://support.hackerrank.com/articles/4811403281-adding-extra-time-for-candidates,screen,replied,product_issue,The answer is grounded in the closest matching provided support case.
i can not able to see apply tab,"I need to practice, submissions not working",HackerRank,Log in to your HackerRank for Work account using your credentials. Go to the Tests tab. Select the test you want to modify. Go to the Candidates tab. Select the checkbox next to the candidate(s) you want to accommodate time. Click More > Add Time Accommodation. Enter the accommodation percentage in multiples of five. Click Save. A success message appears. Time accommodation can also be added before the invite has been sent. Please refer to this support article for the detailed steps : https://support.hackerrank.com/articles/4811403281-adding-extra-time-for-candidates,screen,replied,product_issue,The answer is grounded in the closest matching provided support case.
none of the submissions across any challenges are working on your website,Issue while taking the test,HackerRank,"Thanks for sharing the details. I do not have enough supported information to resolve this safely here, so I am sending it to a human support specialist who can review the case properly.",community,escalated,product_issue,The ticket appears broad or service-impacting and should be escalated for investigation.
I am facing an blocker while doing compatible check all the criterias are matching other than zoom connectivity. Due to which i am unable to take the test. I have done all through my way by changing the settings and system configurations but still showing error,I am facing an blocker while doing compatible check,HackerRank,"Hi, Tests in HackerRank remain active indefinitely unless a start and end time are set. Without these, tests do not expire automatically. To set expiration times, specify a start and end date/time in the test settings. After expiration: Invited candidates cannot access the test. The ""Invite"" button is disabled; no new invitations can be sent. To check or change expiration settings: Go to the test's Settings and select the General section. Update the Start date & time and End date & time fields as needed. To keep the test active indefinitely, clear these fields by clicking the clear icon (X). If the test has an expiration set, adjust these settings to enable new invitations.",screen,replied,product_issue,The answer is grounded in the closest matching provided support case.
"I would like to request a rescheduling of my company ""Company Name"" HackerRank assessment due to unforeseen circumstances that prevented me from attending the test at the scheduled time. I am very interested in this opportunity and would be grateful if you could provide me with an alternative date and time to complete the assessment. Thank you for your understanding and support.",,HackerRank,"Thanks for sharing the details. I do not have enough supported information to resolve this safely here, so I am sending it to a human support specialist who can review the case properly.",screen,escalated,invalid,The ticket asks for an assessment outcome or scheduling change that depends on the hiring team.
